index,우편번호,주소,실시간빠른길,편한길,최적경로,무료우선,second_highest
28569,52150,경상남도 의령군 의병로14길 22,181.59,207.87,181.59,190.13,190.13
28570,52151,경상남도 의령군 의병로8길 12,181.32,208.64,181.32,189.87,189.87
28571,52152,경상남도 의령군 구룡로2길 34,183.17,206.62,183.17,191.72,191.72
28572,52153,경상남도 의령군 구룡로4남길 65,183.24,205.97,183.24,191.78,191.78
28573,52154,경상남도 의령군 남강로 739,205.47,205.47,205.47,192.8,205.47
28574,52155,경상남도 의령군 남강로 696,204.66,204.66,204.66,193.21,204.66
28575,52156,경상남도 의령군 진의로4길 159,180.43,180.43,180.43,188.98,180.43
28576,52157,경상남도 의령군 화정로 298,183.79,201.03,183.79,192.34,192.34
28577,52158,경상남도 의령군 벽화로3길 21,184.31,198.16,184.31,192.86,192.86
28578,52159,경상남도 의령군 남강로 417,207.37,207.37,207.37,194.97,207.37
28579,52160,경상남도 의령군 상일상이들7길 16,196.95,196.95,196.95,198.96,196.95
28580,52200,경상남도 산청군 계남로211번길 19,123.71,123.71,123.71,136.58,123.71
28581,52201,경상남도 산청군 오동로 920,132.25,132.25,132.25,146.53,132.25
28582,52202,경상남도 산청군 산수로 702,126.13,126.13,126.13,137.82,126.13
28583,52203,경상남도 산청군 생초로 35,121.54,121.54,121.54,134.41,121.54
28584,52204,경상남도 산청군 왕산로398번길 7,121.97,121.97,121.97,134.55,121.97
28585,52205,경상남도 산청군 오동로187번길 13,127.83,127.83,127.83,139.51,127.83
28586,52206,경상남도 산청군 신차로2000번길 16,136.37,140.59,136.37,153.23,140.59
28587,52207,경상남도 산청군 황매산로1202번길 210,145.14,145.14,145.14,157.79,145.14
28588,52208,경상남도 산청군 부암길 139,139.22,139.22,139.22,151.87,139.22
28589,52209,경상남도 산청군 신차로 1535,141.27,141.27,141.27,153.91,141.27
28590,52210,경상남도 산청군 물안실로 311,137.77,137.77,137.77,150.65,137.77
28591,52211,경상남도 산청군 친환경로 2788,130.31,130.31,130.31,142.95,130.31
28592,52212,경상남도 산청군 산수로406번길 59,130.23,133.86,130.23,141.97,133.86
28593,52213,경상남도 산청군 묵곡길 127,133.52,133.52,133.52,146.44,133.52
28594,52214,경상남도 산청군 친환경로 2431,129.85,129.85,129.85,145.35,129.85
28595,52215,경상남도 산청군 친환경로2575번길 50,128.58,128.58,128.58,144.09,128.58
28596,52216,경상남도 산청군 친환경로 2667,129.06,129.06,129.06,142.68,129.06
28597,52217,경상남도 산청군 덕우지길 9,130.14,130.14,130.14,142.83,130.14
28598,52218,경상남도 산청군 덕계로 16,129.53,129.53,129.53,142.85,129.53
28599,52219,경상남도 산청군 친환경로 2674,129.12,129.12,129.12,142.64,129.12
28600,52220,경상남도 산청군 꽃봉산로79번길 31,129.38,129.38,129.38,142.9,129.38
28601,52221,경상남도 산청군 꽃봉산로79번길 3,129.55,129.55,129.55,143.58,129.55
28602,52222,경상남도 산청군 웅석봉로 23,129.32,129.32,129.32,142.84,129.32
28603,52223,경상남도 산청군 꽃봉산로91번길 21,129.84,129.84,129.84,143.12,129.84
28604,52224,경상남도 산청군 중앙로 26,129.6,129.6,129.6,142.92,129.6
28605,52225,경상남도 산청군 웅석봉로133번길 88,131.06,131.06,131.06,144.04,131.06
28606,52226,경상남도 산청군 웅석봉로86번길 17,130.03,130.03,130.03,143.86,130.03
28607,52227,경상남도 산청군 웅석봉로250번길 14,131.71,131.71,131.71,145.54,131.71
28608,52228,경상남도 산청군 화계오봉로617번길 94,133.41,133.41,133.41,142.83,133.41
28609,52229,경상남도 산청군 동의보감로 645,126.71,134.71,126.71,139.35,134.71
28610,52230,경상남도 산청군 친환경로2153번길 38,132.63,132.63,132.63,148.13,132.63
28611,52231,경상남도 산청군 가재길 21,133.0,133.0,133.0,148.5,133.0
28612,52232,경상남도 산청군 대원사길23번길 87,139.76,139.76,139.76,155.27,139.76
28613,52233,경상남도 산청군 서당길 197,143.06,143.06,143.06,158.56,143.06
28614,52234,경상남도 산청군 남명로 195,146.95,146.95,146.95,162.46,146.95
28615,52235,경상남도 산청군 대하내원로 455,148.83,148.83,148.83,164.34,148.83
28616,52236,경상남도 산청군 지리산대로839번길 35,157.26,171.66,157.26,172.76,171.66
28617,52237,경상남도 산청군 삼신봉로506번길 43,160.94,160.94,160.94,176.44,160.94
28618,52238,경상남도 산청군 내공길 76,151.69,166.1,151.69,167.2,166.1
28619,52239,경상남도 산청군 남명로159번길 52,146.59,146.59,146.59,162.09,146.59
28620,52240,경상남도 산청군 송하중태길 312,149.55,162.75,149.55,165.05,162.75
28621,52241,경상남도 산청군 호암로591번길 32,145.08,157.89,145.08,158.01,157.89
28622,52242,경상남도 산청군 수산길 132,142.41,142.41,142.41,155.17,142.41
28623,52243,경상남도 산청군 호암로 310,154.92,154.92,154.92,162.11,154.92
28624,52244,경상남도 산청군 지리산대로2705번길 70,153.33,153.33,153.33,166.75,153.33
28625,52245,경상남도 산청군 지리산대로2155번길 28,158.43,158.43,158.43,171.85,158.43
28626,52246,경상남도 산청군 덕천로836번길 75,158.0,158.0,158.0,171.41,158.0
28627,52247,경상남도 산청군 호반로 1666,154.03,154.07,154.07,167.44,154.07
28628,52248,경상남도 산청군 목화로991번길 88,148.51,148.51,148.51,160.35,148.51
28629,52249,경상남도 산청군 원지로122번길 146,152.1,152.1,152.1,162.21,152.1
28630,52250,경상남도 산청군 성철로102번길 9,149.27,149.27,149.27,162.86,149.27
28631,52251,경상남도 산청군 목화로991번길 85,148.32,148.32,148.32,160.21,148.32
28632,52252,경상남도 산청군 마흘길 63,150.19,150.19,150.19,161.86,150.19
28633,52253,경상남도 산청군 신등가회로 67,144.21,144.21,144.21,157.09,144.21
28634,52254,경상남도 산청군 황매산로55번길 46,147.61,147.61,147.61,160.49,147.61
28635,52255,경상남도 산청군 방골길 55,163.89,163.89,163.89,172.44,163.89
28636,52256,경상남도 산청군 정주동길 29,157.84,157.84,157.84,166.39,157.84
28637,52257,경상남도 산청군 신차로 513,144.29,144.29,144.29,157.17,144.29
28638,52258,경상남도 산청군 신차로318번길 366,158.65,158.65,155.67,160.91,158.65
28639,52259,경상남도 산청군 지리산대로3833번길 55,150.42,153.23,150.42,161.5,153.23
28640,52260,경상남도 산청군 중촌갈전로 912,146.61,157.88,146.61,162.47,157.88
28641,52261,경상남도 산청군 산청대로545번길 32,140.51,151.63,140.51,156.37,151.63
28642,52262,경상남도 산청군 둔철산로260번길 20,138.62,141.61,138.62,154.48,141.61
28643,52263,경상남도 산청군 청현로99번길 68,150.75,153.73,150.75,162.27,153.73
28644,52264,경상남도 산청군 야정신기로192번길 88,151.66,153.96,151.66,164.06,153.96
28645,52300,경상남도 하동군 벽소령길 246,202.51,202.51,202.51,211.85,202.51
28646,52301,경상남도 하동군 진목길 16,199.01,199.01,199.01,208.35,199.01
28647,52302,경상남도 하동군 화개로 697,195.04,195.04,195.04,204.38,195.04
28648,52303,경상남도 하동군 법하길 24,189.54,189.54,189.54,198.88,189.54
28649,52304,경상남도 하동군 섬진강대로 3874,190.02,190.02,190.02,199.36,190.02
28650,52305,경상남도 하동군 회남재로 231,203.34,203.34,203.34,212.68,203.34
28651,52306,경상남도 하동군 신흥길 153,201.11,201.11,201.11,210.45,201.11
28652,52307,경상남도 하동군 하평길 27,197.78,197.78,197.78,207.12,197.78
28653,52308,경상남도 하동군 개치미동길 19,198.0,223.89,198.0,207.34,207.34
28654,52309,경상남도 하동군 청학동길 114,167.65,170.63,167.65,186.08,170.63
28655,52310,경상남도 하동군 명사길 102,176.43,223.82,176.43,185.91,185.91
28656,52311,경상남도 하동군 옥단로 1807,154.92,157.91,154.92,171.27,157.91
28657,52312,경상남도 하동군 양이터길 102,162.49,180.41,165.48,180.93,180.41
28658,52313,경상남도 하동군 옥단로 1003,165.43,165.43,165.43,178.79,165.43
28659,52314,경상남도 하동군 추동안길 44,164.38,164.38,164.38,177.74,164.38
28660,52315,경상남도 하동군 옥단로 414,171.77,201.47,171.77,185.13,185.13
28661,52316,경상남도 하동군 방화길 109,174.77,203.47,174.77,188.13,188.13
28662,52317,경상남도 하동군 금촌길 67,176.84,203.11,176.84,203.84,203.11
28663,52318,경상남도 하동군 신촌안길 13,174.86,197.81,174.86,198.54,197.81
28664,52319,경상남도 하동군 돌고지로 64,177.99,219.34,177.99,184.48,184.48
28665,52320,경상남도 하동군 이정길 30,185.57,220.21,185.57,192.06,192.06
28666,52321,경상남도 하동군 대티길 15,200.04,216.64,200.04,212.46,212.46
28667,52322,경상남도 하동군 섬진강대로 2131,211.04,214.03,211.04,219.75,214.03
28668,52323,경상남도 하동군 경서대로 250,210.86,213.84,210.86,214.6,213.84
28669,52324,경상남도 하동군 산복2길 57,211.07,214.06,211.07,215.08,214.06
28670,52325,경상남도 하동군 하마길 70,211.1,215.19,211.1,187.32,211.1
28671,52326,경상남도 하동군 동광길 1,211.16,215.25,211.16,187.21,211.16
28672,52327,경상남도 하동군 중앙로 106,211.84,215.47,211.84,216.0,215.47
28673,52328,경상남도 하동군 나루터길 23,211.07,214.06,211.07,219.78,214.06
28674,52329,경상남도 하동군 중앙로 51,211.3,215.39,211.3,187.04,211.3
28675,52330,경상남도 하동군 시장3길 14,211.16,215.25,211.16,215.56,215.25
28676,52331,경상남도 하동군 경서대로 105,210.78,213.74,210.78,215.98,213.74
28677,52332,경상남도 하동군 경서대로 136,214.43,214.43,214.43,220.15,214.43
28678,52333,경상남도 하동군 공설운동장로 183,213.33,213.33,213.33,214.75,213.33
28679,52334,경상남도 하동군 안성길 59,212.52,212.52,212.52,214.27,212.52
28680,52335,경상남도 하동군 진양로 1315,181.56,204.18,181.56,188.05,188.05
28681,52336,경상남도 하동군 진양로 785,186.8,200.65,186.8,193.29,193.29
28682,52337,경상남도 하동군 주교로 454,200.82,209.32,200.82,217.8,209.32
28683,52338,경상남도 하동군 정안로 271,188.01,204.47,188.01,194.5,194.5
28684,52339,경상남도 하동군 사막1길 33,210.66,210.66,210.66,213.71,210.66
28685,52340,경상남도 하동군 하동읍성로 451,207.27,207.27,207.27,220.44,207.27
28686,52341,경상남도 하동군 월운길 210,197.55,197.55,197.55,215.92,197.55
28687,52342,경상남도 하동군 고이신촌길 29,193.47,196.45,193.47,213.93,196.45
28688,52343,경상남도 하동군 반석길 58,191.73,194.21,191.73,215.83,194.21
28689,52344,경상남도 하동군 경충로 1155,188.89,191.88,188.89,211.03,191.88
28690,52345,경상남도 하동군 산복벚꽃길 16,189.68,192.67,189.68,211.87,192.67
28691,52346,경상남도 하동군 신안길 40,193.71,196.7,193.71,217.61,196.7
28692,52347,경상남도 하동군 민다리길 9,190.71,193.5,190.71,209.64,193.5
28693,52348,경상남도 하동군 구고속도로 849,191.04,194.03,191.04,209.62,194.03
28694,52349,경상남도 하동군 구곡2길 55,191.55,194.54,191.55,209.16,194.54
28695,52350,경상남도 하동군 사궁길 15,199.44,202.43,199.44,221.61,202.43
28696,52351,경상남도 하동군 한재길 74,197.44,200.43,197.44,216.35,200.43
28697,52352,경상남도 하동군 구노량길 45,199.95,211.73,202.92,218.86,211.73
28698,52353,경상남도 하동군 해안로 237,208.09,208.09,208.09,227.56,208.09
28699,52354,경상남도 하동군 내도청도길 126,208.83,208.83,208.83,228.29,208.83
28700,52355,경상남도 하동군 산업로 510,208.26,208.26,208.26,227.72,208.26
28701,52400,경상남도 남해군 노량로 100,212.53,212.53,212.53,232.01,212.53
28702,52401,경상남도 남해군 창남로 477,209.53,217.44,209.53,225.47,217.44
28703,52402,경상남도 남해군 고설로 280,219.84,219.84,219.84,239.32,219.84
28704,52403,경상남도 남해군 남치로177번길 29,219.18,219.18,219.18,238.66,219.18
28705,52404,경상남도 남해군 남해대로3628번길 33,219.29,219.29,219.29,237.57,219.29
28706,52405,경상남도 남해군 남서대로2980번길 26,220.66,220.66,220.66,240.13,220.66
28707,52406,경상남도 남해군 정포로252번길 6,223.52,223.52,223.52,243.0,223.52
28708,52407,경상남도 남해군 화방로 34,222.17,222.17,222.17,241.65,222.17
28709,52408,경상남도 남해군 남서대로2240번길 635,230.54,230.54,230.54,250.02,230.54
28710,52409,경상남도 남해군 남서대로 2190,228.26,228.26,228.26,247.74,228.26
28711,52410,경상남도 남해군 남서대로1517번길 21,233.76,233.76,233.76,244.18,233.76
28712,52411,경상남도 남해군 스포츠로470번길 13,230.11,230.11,230.11,240.53,230.11
28713,52412,경상남도 남해군 남해대로 2951,223.43,223.43,223.43,242.91,223.43
28714,52413,경상남도 남해군 남해대로 2742,226.0,226.0,226.0,235.69,226.0
28715,52414,경상남도 남해군 화전로96번나길 2,224.48,224.48,224.48,236.95,224.48
28716,52415,경상남도 남해군 화전로122번길 2,224.27,224.27,224.27,243.75,224.27
28717,52416,경상남도 남해군 화전로122번가길 17,224.35,224.35,224.35,243.83,224.35
28718,52417,경상남도 남해군 오동로 80,224.85,224.85,224.85,244.33,224.85
28719,52418,경상남도 남해군 망운로10번가길 3,224.57,224.57,224.57,244.05,224.57
28720,52419,경상남도 남해군 망운로10번길 1,224.8,224.8,224.8,236.68,224.8
28721,52420,경상남도 남해군 화전로 85,224.61,224.61,224.61,236.64,224.61
28722,52421,경상남도 남해군 화전로78번길 17,224.86,224.86,224.86,236.74,224.86
28723,52422,경상남도 남해군 화전로78번길 30,225.2,225.2,225.2,236.84,225.2
28724,52423,경상남도 남해군 화전로 34,225.71,225.71,225.71,236.13,225.71
28725,52424,경상남도 남해군 화전로59번길 6,224.96,224.96,224.96,236.48,224.96
28726,52425,경상남도 남해군 망운로9번길 12,224.96,224.96,224.96,236.61,224.96
28727,52426,경상남도 남해군 망운로21번가길 8,225.25,225.25,225.25,236.81,225.25
28728,52427,경상남도 남해군 화전로 11,225.54,225.54,225.54,235.96,225.54
28729,52428,경상남도 남해군 당넘로217번길 13,227.34,227.34,227.34,237.76,227.34
28730,52429,경상남도 남해군 에코파크길 113,226.9,226.9,226.9,236.59,226.9
28731,52430,경상남도 남해군 남해대로2513번길 5,227.81,227.81,227.81,234.33,227.81
28732,52431,경상남도 남해군 남해대로 1985,215.08,233.02,215.08,229.89,229.89
28733,52432,경상남도 남해군 보리암로 616,222.18,240.12,222.18,236.99,236.99
28734,52433,경상남도 남해군 남서대로1249번길 43,235.6,235.6,235.6,243.51,235.6
28735,52434,경상남도 남해군 남면로1593번길 69,238.84,238.84,238.84,244.47,238.84
28736,52435,경상남도 남해군 남면로1103번길 43,242.71,242.71,242.71,246.63,242.71
28737,52436,경상남도 남해군 남면로 106,223.14,241.09,223.14,237.94,237.94
28738,52437,경상남도 남해군 남서대로 522,221.38,239.32,221.38,236.19,236.19
28739,52438,경상남도 남해군 남서대로 390,220.02,237.96,220.02,234.82,234.82
28740,52439,경상남도 남해군 양아로525번길 20,224.4,242.34,224.4,239.21,239.21
28741,52440,경상남도 남해군 남해대로495번길 25,230.16,248.1,230.16,244.97,244.97
28742,52441,경상남도 남해군 남해대로 107,227.29,227.29,227.29,242.1,227.29
28743,52442,경상남도 남해군 미조로 244,229.0,229.0,229.0,243.8,229.0
28744,52443,경상남도 남해군 봉화로 257,214.44,214.44,214.44,229.24,214.44
28745,52444,경상남도 남해군 동부대로 1795,208.5,208.5,208.5,223.3,208.5
28746,52445,경상남도 남해군 동부대로1757번길 5,208.94,208.94,208.94,223.74,208.94
28747,52446,경상남도 남해군 양화금로 329,215.16,215.16,215.16,229.97,215.16
28748,52447,경상남도 남해군 동부대로1122번길 132,214.98,214.98,214.98,229.79,214.98
28749,52448,경상남도 남해군 독일로 89,216.48,216.48,216.48,231.29,216.48
28750,52449,경상남도 남해군 서부로 1441,198.07,198.07,198.07,212.88,198.07
28751,52450,경상남도 남해군 동부대로2843번길 22,198.08,198.08,198.08,212.89,198.08
28752,52451,경상남도 남해군 한재로 277,204.67,204.67,204.67,219.52,204.67
28753,52452,경상남도 남해군 서부로591번길 26,207.89,207.89,207.89,222.74,207.89
28754,52453,경상남도 남해군 동부대로2084번길 23,206.12,206.12,206.12,220.98,206.12
28755,52454,경상남도 남해군 흥선로410번길 44,208.4,208.4,208.4,223.25,208.4
28756,52455,경상남도 남해군 흥선로 1829,207.02,207.02,207.02,221.87,207.02
28757,52500,경상남도 사천시 마곡안길 49,170.23,195.98,170.23,195.48,195.48
28758,52501,경상남도 사천시 금성1길 71,179.04,179.04,179.04,191.51,179.04
28759,52502,경상남도 사천시 조매동길 24,180.47,180.47,180.47,192.94,180.47
28760,52503,경상남도 사천시 봉계길 50,182.13,193.13,182.13,194.6,193.13
28761,52504,경상남도 사천시 곤양로 74,186.12,186.12,186.12,201.8,186.12
28762,52505,경상남도 사천시 어류길 22,189.41,189.45,189.45,199.43,189.45
28763,52506,경상남도 사천시 가화길 805,184.59,184.59,184.59,202.04,184.59
28764,52507,경상남도 사천시 검정2길 6,180.96,180.96,180.96,195.83,180.96
28765,52508,경상남도 사천시 한월길 50,189.31,189.31,189.31,204.24,189.31
28766,52509,경상남도 사천시 용수길 227,179.49,179.49,179.49,191.59,179.49
28767,52510,경상남도 사천시 길평1길 21,172.26,172.26,172.26,187.04,172.26
28768,52511,경상남도 사천시 사천대로 1891,175.24,175.24,175.24,190.04,175.24
28769,52512,경상남도 사천시 상정대로 3062,175.03,175.03,175.03,189.83,175.03
28770,52513,경상남도 사천시 두량공단로 55,175.43,175.43,175.43,189.42,175.43
28771,52514,경상남도 사천시 구암두문로 833,183.67,183.67,183.67,192.78,183.67
28772,52515,경상남도 사천시 구암두문로 165,174.98,174.98,174.98,189.78,174.98
28773,52516,경상남도 사천시 사천대로 1993,173.95,173.95,173.95,188.76,173.95
28774,52517,경상남도 사천시 구암두문로 154,175.21,175.21,175.21,190.01,175.21
28775,52518,경상남도 사천시 읍내1길 88,175.31,175.31,175.31,190.12,175.31
28776,52519,경상남도 사천시 옥산로 19,175.91,175.91,175.91,190.71,175.91
28777,52520,경상남도 사천시 사주3길 19,176.31,176.31,176.31,191.11,176.31
