SEOUL,14575,6,SEOUL,,CS-DIRTAJ,26231
SEOUL,18103,59,SEOUL,,CS-DIRTAJ,30134
SEOUL,31486,99,SEOUL,,CS-DIRTAJ,34046
SEOUL,22711,24,SEOUL,,CS-DIRTAJ,21431
SEOUL,7800,13,SEOUL,,CS-DIRTAJ,51552
SEOUL,52851,354,SEOUL,,,
SEOUL,44994,393,SEOUL,,,
SEOUL,7316,15,SEOUL,,,
SEOUL,28121,136,SEOUL,,,
SEOUL,6648,27,SEOUL,,,
SEOUL,48120,428,SEOUL,,,
SEOUL,12744,53,SEOUL,,,
SEOUL,12539,100,SEOUL,,,
SEOUL,3080,34,SEOUL,,,
SEOUL,8208,9,SEOUL,,,
SEOUL,30090,143,SEOUL,,,
SEOUL,48943,407,SEOUL,,,
SEOUL,51552,377,SEOUL,,,
SEOUL,3183,25,SEOUL,,,
SEOUL,5051,36,SEOUL,,,
SEOUL,18574,53,SEOUL,,,
SEOUL,18479,53,SEOUL,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
