index,우편번호,주소,실시간빠른길,편한길,최적경로,무료우선,second_highest
29483,54087,전북특별자치도 군산시 수송동로 100,190.9,204.42,190.9,231.86,204.42
29484,54088,전북특별자치도 군산시 월명로 274,191.34,203.77,191.34,216.45,203.77
29485,54089,전북특별자치도 군산시 축동안길 62,191.19,203.88,191.19,216.16,203.88
29486,54090,전북특별자치도 군산시 축동1길 15,191.72,203.45,191.72,232.68,203.45
29487,54091,전북특별자치도 군산시 월명로 244,191.5,203.78,191.5,232.47,203.78
29488,54092,전북특별자치도 군산시 공단대로 146,193.36,203.57,193.36,234.32,203.57
29489,54093,전북특별자치도 군산시 미장6길 40,190.97,204.35,190.97,231.94,204.35
29490,54094,전북특별자치도 군산시 번영로 136,190.13,202.6,190.13,231.5,202.6
29491,54095,전북특별자치도 군산시 번영로 154,189.93,202.0,189.93,230.9,202.0
29492,54096,전북특별자치도 군산시 미장7길 40,190.58,204.36,190.58,231.54,204.36
29493,54097,전북특별자치도 군산시 공단대로 141,193.77,203.49,193.77,234.74,203.49
29494,54098,전북특별자치도 군산시 월명로 158,197.45,202.43,197.45,238.42,202.43
29495,54099,전북특별자치도 군산시 수송동로 24,194.19,203.21,194.19,235.16,203.21
29496,54100,전북특별자치도 군산시 수송7길 27,198.07,219.92,198.07,235.14,219.92
29497,54101,전북특별자치도 군산시 축동로 32,198.36,220.21,198.36,239.33,220.21
29498,54102,전북특별자치도 군산시 남수송5길 39,198.52,220.37,198.52,239.49,220.37
29499,54103,전북특별자치도 군산시 상지곡안4길 69,198.55,203.53,198.55,239.51,203.53
29500,54104,전북특별자치도 군산시 신평길 12,197.54,202.53,197.54,238.51,202.53
29501,54105,전북특별자치도 군산시 월명로 125,198.06,219.9,198.06,239.03,219.9
29502,54106,전북특별자치도 군산시 지곡로 68,197.54,202.52,197.54,238.5,202.52
29503,54107,전북특별자치도 군산시 백토로 265,198.19,203.17,198.19,239.15,203.17
29504,54108,전북특별자치도 군산시 동지곡길 100,197.66,202.64,197.66,238.63,202.64
29505,54109,전북특별자치도 군산시 월명로 69,196.64,201.62,196.64,237.61,201.62
29506,54110,전북특별자치도 군산시 백토로 425,198.07,204.27,198.07,240.26,204.27
29507,54111,전북특별자치도 군산시 청소년회관로 84,192.53,200.03,200.03,215.71,200.03
29508,54112,전북특별자치도 군산시 나운우회로 2,192.43,199.93,199.93,215.61,199.93
29509,54113,전북특별자치도 군산시 대학로 148,191.59,199.1,199.1,214.77,199.1
29510,54114,전북특별자치도 군산시 월명안길 23,191.15,198.65,198.65,214.33,198.65
29511,54115,전북특별자치도 군산시 대학로 183,192.17,200.17,200.17,215.85,200.17
29512,54116,전북특별자치도 군산시 백토로 25,191.38,199.21,199.21,214.89,199.21
29513,54117,전북특별자치도 군산시 월명로 407,190.47,199.03,199.03,214.71,199.03
29514,54118,전북특별자치도 군산시 월명로 395,190.35,190.35,190.35,214.82,190.35
29515,54119,전북특별자치도 군산시 삼학1길 40,190.96,199.32,199.32,215.0,199.32
29516,54120,전북특별자치도 군산시 삼학9길 7,190.8,190.8,190.8,215.27,190.8
29517,54121,전북특별자치도 군산시 동리2길 15,191.39,204.69,199.75,215.43,204.69
29518,54122,전북특별자치도 군산시 팔마로 63,191.66,205.21,199.8,215.48,205.21
29519,54123,전북특별자치도 군산시 서흥안1길 3,192.32,205.08,199.67,215.35,205.08
29520,54124,전북특별자치도 군산시 상신4길 15,193.06,200.56,200.56,216.24,200.56
29521,54125,전북특별자치도 군산시 신설로 46,193.3,200.81,200.81,216.48,200.81
29522,54126,전북특별자치도 군산시 상신3길 14,192.79,200.29,200.29,215.97,200.29
29523,54127,전북특별자치도 군산시 대학로 276,192.9,200.4,200.4,213.19,200.4
29524,54128,전북특별자치도 군산시 대학로 292,193.07,200.57,200.57,213.36,200.57
29525,54129,전북특별자치도 군산시 상나운로 23,201.06,201.06,201.06,213.84,201.06
29526,54130,전북특별자치도 군산시 하나운3길 26,202.62,204.5,202.62,215.4,204.5
29527,54131,전북특별자치도 군산시 하나운1길 29,192.56,205.14,200.69,213.48,205.14
29528,54132,전북특별자치도 군산시 수송로 11,192.67,200.45,200.45,213.23,200.45
29529,54133,전북특별자치도 군산시 나운로 28,192.09,204.85,200.27,215.95,204.85
29530,54134,전북특별자치도 군산시 나운로 24,192.03,204.78,192.03,215.96,204.78
29531,54135,전북특별자치도 군산시 하나운로 124,192.05,200.22,192.05,215.9,200.22
29532,54136,전북특별자치도 군산시 문화로 36,191.59,204.43,191.59,216.16,204.43
29533,54137,전북특별자치도 군산시 서수송1길 23,192.11,203.84,192.11,233.08,203.84
29534,54138,전북특별자치도 군산시 수송로 73,192.47,204.18,192.47,213.56,204.18
29535,54139,전북특별자치도 군산시 수송로 50,192.77,204.48,200.94,213.72,204.48
29536,54140,전북특별자치도 군산시 나운안1길 19,199.03,220.88,199.03,213.75,213.75
29537,54141,전북특별자치도 군산시 부원로 20,202.3,206.23,202.3,215.09,206.23
