postal_code,distance,duration_time
1000,185,0
1001,184,0
1002,185,0
1003,184,0
1004,184,0
1005,184,0
1006,185,0
1007,185,0
1008,185,0
1009,180,0
1010,180,0
1011,180,0
1012,180,0
1013,181,0
1014,180,0
1015,190,0
1016,191,0
1017,181,0
1018,181,0
1019,190,0
1020,190,0
1021,181,0
1022,183,0
1023,183,0
1024,183,0
1025,182,0
1026,190,0
1027,180,0
1028,179,0
1029,180,0
1030,179,0
1031,184,0
1032,180,0
1033,179,0
1034,179,0
1035,179,0
1036,179,0
1037,179,0
1038,179,0
1039,189,0
1040,179,0
1041,179,0
1042,179,0
1043,179,0
1044,179,0
1045,185,0
1046,180,0
1047,179,0
1048,179,0
1049,184,0
1050,184,0
1051,179,0
1052,182,0
1053,184,0
1054,178,0
1055,184,0
1056,180,0
1057,178,0
1058,180,0
1059,179,0
1060,180,0
1061,181,0
1062,178,0
1063,177,0
1064,177,0
1065,177,0
1066,179,0
1067,187,0
1068,177,0
1069,180,0
1070,178,0
1071,178,0
1072,178,0
1073,178,0
1074,178,0
1075,178,0
1076,178,0
1077,179,0
1078,178,0
1079,178,0
1080,178,0
1081,178,0
1082,178,0
1083,179,0
1084,179,0
1085,183,0
1086,179,0
1087,185,0
1088,183,0
1089,183,0
1090,179,0
1091,179,0
1092,183,0
1093,178,0
1094,178,0
1095,179,0
1096,182,0
1097,182,0
1098,178,0
1099,178,0
1100,178,0
1101,178,0
1102,178,0
1103,177,0
1104,177,0
1105,178,0
1106,178,0
1107,178,0
1108,177,0
1109,178,0
1110,178,0
1111,178,0
1112,178,0
1113,178,0
1114,178,0
1115,178,0
1116,178,0
1117,178,0
1118,177,0
1119,178,0
1120,177,0
1121,177,0
1122,177,0
1124,177,0
1125,177,0
1126,177,0
1127,177,0
1128,177,0
1129,178,0
1130,178,0
1131,178,0
1132,178,0
1133,177,0
1134,178,0
1135,180,0
1136,187,0
1137,188,0
1138,188,0
1139,179,0
1141,176,0
1142,176,0
1143,187,0
1144,188,0
1145,188,0
1146,177,0
1147,177,0
1148,177,0
1149,178,0
1150,177,0
1151,177,0
1152,176,0
1153,176,0
1154,176,0
1155,175,0
1156,175,0
1157,177,0
1158,176,0
1159,176,0
1160,176,0
1161,176,0
1162,176,0
1163,176,0
1164,176,0
1165,176,0
1166,181,0
1167,177,0
1168,177,0
1169,178,0
1170,183,0
1171,182,0
1172,176,0
1173,177,0
1174,182,0
1175,176,0
1176,182,0
1177,176,0
1178,176,0
1179,182,0
1180,187,0
1181,183,0
1182,178,0
1183,187,0
1184,183,0
1185,187,0
1186,187,0
1187,187,0
1188,182,0
1189,182,0
1190,187,0
1191,183,0
1192,187,0
1193,177,0
1194,182,0
1195,182,0
1196,182,0
1197,178,0
1198,177,0
1199,177,0
1200,178,0
1201,178,0
1202,176,0
1203,176,0
1204,176,0
1205,176,0
1206,182,0
1207,177,0
1208,176,0
1209,176,0
1210,176,0
1211,182,0
1212,176,0
1213,176,0
1214,176,0
1215,176,0
1216,175,0
1217,175,0
1218,181,0
1219,175,0
1220,175,0
1221,181,0
1222,180,0
1223,192,0
1224,192,0
1225,192,0
1226,192,0
1227,192,0
1228,176,0
1229,192,0
1230,191,0
1231,191,0
1232,181,0
1233,181,0
1234,181,0
1236,181,0
1237,181,0
1300,187,0
1301,182,0
1302,180,0
1303,182,0
1304,180,0
1305,180,0
1306,180,0
1307,180,0
1308,180,0
